obs_yield,precip,rad,maxt,mint,sat,hyd,clay,bulk,water,lat,long,elev
,320.35,17.83,25.7,12.84,0.35,11.56,0.27,1.65,1,42.82,-74.06,215.7
,320.35,17.83,25.7,12.84,0.39,47.21,0.12,1.35,1,42.82,-74.06,215.7
,383.35,18.53,24.8,12.14,0.35,11.56,0.27,1.65,1,42.82,-74.06,215.7
13.05,420.75,18.56,23.63,10.97,0.39,55.08,0.11,1.37,1,41.72,-74.77,431.87
13.05,420.75,18.56,23.63,10.97,0.37,33.18,0.16,1.36,1,41.72,-74.77,431.87
13.05,420.75,18.56,23.63,10.97,0.34,22.66,0.12,1.6,1,41.72,-74.77,431.87
19.94,371.38,18.85,25.42,11.86,0.36,30.82,0.12,1.45,1,41.77,-73.74,163.99
19.94,371.38,18.85,25.42,11.86,0.36,37,0.12,1.5,1,41.77,-73.74,163.99
19.94,371.38,18.85,25.42,11.86,0.34,24.42,0.12,1.59,1,41.77,-73.74,163.99
,378.3,18.75,26.28,13.2,0.35,27.99,0.12,1.47,1,41.43,-73.75,196.18
,378.3,18.75,26.28,13.2,0.35,31.01,0.12,1.57,1,41.43,-73.75,196.18
,435.27,18.15,27.54,15.05,0.31,16,0.12,1.69,1,41.43,-73.75,196.18
,336.19,19.2,24.15,13.23,0.43,18.27,0.26,1.42,1,44.04,-75.91,165.75
,336.19,19.2,24.15,13.23,0.4,25.59,0.17,1.39,1,44.04,-75.91,165.75
,336.19,19.2,24.15,13.23,0.37,39.51,0.12,1.41,1,44.04,-75.91,165.75
,463.91,20.12,22.11,10.98,0.33,16.89,0.11,1.67,1,43.78,-75.45,396.12
,336.19,19.2,24.15,13.23,0.38,36.24,0.14,1.4,1,43.78,-75.45,396.12
,336.19,19.2,24.15,13.23,0.33,16.89,0.11,1.67,1,43.78,-75.45,396.12
,405.59,18.6,25.94,11.42,0.34,215.41,0.03,1.66,1,43.56,-73.85,383.48
,310.04,18.66,24.87,11.98,0.44,14.4,0.39,1.43,1,43.56,-73.85,383.48
,310.04,18.66,24.87,11.98,0.38,193.69,0.03,1.55,1,43.56,-73.85,383.48
,356.87,19.85,24.58,11.76,0.32,24.06,0.12,1.67,1,42.6,-76.07,450.62
,356.87,19.85,24.58,11.76,0.39,23.73,0.27,1.48,1,42.6,-76.07,450.62
,356.87,19.85,24.58,11.76,0.33,10.76,0.22,1.73,1,42.6,-76.07,450.62
25.93,296.75,20.19,23.22,13.75,0.39,36,0.1,0,1,43.43,-76.14,174.64
25.93,296.75,20.19,23.22,13.75,0.39,59.56,0.11,1.39,1,43.43,-76.14,174.64
25.93,339.51,19.92,25.04,13.46,0.44,13.41,0.41,1.43,1,43.43,-76.14,174.64
,382.65,18.92,24.71,11.69,0.35,12.28,0.22,1.62,1,43.42,-74.96,467.8
,382.65,18.92,24.71,11.69,0.35,8.82,0.3,1.7,1,43.42,-74.96,467.8
,382.65,18.92,24.71,11.69,0.39,17.58,0.22,1.49,1,43.42,-74.96,467.8
10.53,368.04,19.85,23.46,12.71,0.31,23.08,0.12,1.67,1,42.16,-75.82,402.6
10.53,368.04,19.85,23.46,12.71,0.38,39.25,0.12,1.36,1,42.16,-75.82,402.6
10.53,368.04,19.85,23.46,12.71,0.33,10.86,0.22,1.71,1,42.16,-75.82,402.6
21.99,306.77,20.55,24.67,11.9,0.37,34.33,0.12,1.41,1,44.75,-73.68,280.77
21.99,306.77,20.55,24.67,11.9,0.39,93.72,0.12,1.45,1,44.75,-73.68,280.77
21.99,306.77,20.55,24.67,11.9,0.44,12.06,0.37,1.43,1,44.75,-73.68,280.77
16.17,398.35,19.04,24.54,10.78,0.34,26.27,0.12,1.56,1,42.2,-74.97,556.58
16.17,399.76,18.62,25,10.32,0.38,84.62,0.1,1.4,1,42.2,-74.97,556.58
16.17,399.76,18.62,25,10.32,0.34,26.27,0.12,1.56,1,42.2,-74.97,556.58
14.56,404.5,18.92,23.5,11.64,0.41,22.28,0.22,1.37,1,42.63,-75.03,475.33
14.56,398.35,19.04,24.54,10.78,0.34,65.47,0.11,1.55,1,42.63,-75.03,475.33
14.56,398.35,19.04,24.54,10.78,0.33,28.38,0.12,1.6,1,42.63,-75.03,475.33
,408.18,18.33,23.9,14.48,0.35,25.16,0.14,1.48,1,41.89,-74.26,340.41
,408.18,18.33,23.9,14.48,0.33,26.96,0.12,1.62,1,41.89,-74.26,340.41
,408.18,18.33,23.9,14.48,0.38,39.18,0.12,1.41,1,41.89,-74.26,340.41
30.77,310.04,18.66,24.87,11.98,0.37,0.47,0.68,1.86,1,43.31,-73.43,181.42
30.77,310.04,18.66,24.87,11.98,0.43,2.38,0.61,1.63,1,43.31,-73.43,181.42
30.77,337.2,18.64,25.41,10.48,0.38,212.18,0.06,1.48,1,43.31,-73.43,181.42
19.1,449.98,18.52,23.42,11.95,0.37,36.06,0.12,1.44,1,42.71,-73.51,250.17
19.1,449.98,18.52,23.42,11.95,0.38,45.71,0.12,1.35,1,42.71,-73.51,250.17
19.1,449.98,18.52,23.42,11.95,0.34,28.66,0.12,1.57,1,42.71,-73.51,250.17
26.24,282.65,20.16,26.03,12.96,0.37,13.6,0.22,1.54,1,43.16,-77.03,130.8
