obs_yield,precip,rad,maxt,mint,sat,hyd,clay,bulk,water,lat,long,elev
41.52,370.31,18.74,26.8,13.51,0.39,285.22,0.03,1.37,1,42.49,-71.39,69.01
41.52,370.31,18.74,26.8,13.51,0.41,307.42,0.04,1.31,1,42.49,-71.39,69.01
47.79,402,18.65,26.23,12.9,0.4,261,0.03,1.36,1,42.58,-72.59,263.63
47.79,402,18.65,26.23,12.9,0.41,65,0.12,1.39,1,42.58,-72.59,263.63
47.79,402,18.65,26.23,12.9,0.39,316.2,0.01,1.45,1,42.58,-72.59,263.63
44.57,428.58,18.51,27.18,14.78,0.39,291.79,0.04,1.38,1,41.81,-72.73,98.78
44.57,428.58,18.51,27.18,14.78,0.38,202.49,0.09,1.42,1,41.81,-72.73,98.78
44.57,428.58,18.51,27.18,14.78,0.39,292.45,0.03,1.37,1,41.81,-72.73,98.78
38.2,438.22,17.89,26.49,13.34,0.35,35.53,0.1,1.49,1,41.79,-73.25,279.05
38.2,438.22,17.89,26.49,13.34,0.34,64.88,0.08,1.58,1,41.79,-73.25,279.05
38.2,438.22,17.89,26.49,13.34,0.38,42,0.13,1.39,1,41.79,-73.25,279.05
39.54,412.48,17.99,26.22,13.66,0.34,64.88,0.08,1.58,1,41.41,-72.93,95.5
39.54,379.42,19.07,25.99,14.72,0.34,36.72,0.14,1.6,1,41.41,-72.93,95.5
39.54,379.42,19.07,25.99,14.72,0.35,50.82,0.09,1.57,1,41.41,-72.93,95.5
38.22,412.48,17.99,26.22,13.66,0.34,36.72,0.14,1.6,1,41.27,-73.39,115.95
38.22,412.48,17.99,26.22,13.66,0.35,35.53,0.1,1.49,1,41.27,-73.39,115.95
38.22,412.48,17.99,26.22,13.66,0.34,64.88,0.08,1.58,1,41.27,-73.39,115.95
36.71,407.46,19.07,25.04,15.25,0.39,292.45,0.03,1.37,1,41.46,-72.54,85.56
36.71,379.42,19.07,25.99,14.72,0.34,36.72,0.14,1.6,1,41.46,-72.54,85.56
36.71,379.42,19.07,25.99,14.72,0.33,25.64,0.1,1.59,1,41.46,-72.54,85.56
43.67,407.46,19.07,25.04,15.25,0.36,70.42,0.08,1.53,1,41.49,-72.1,75.5
43.67,450.65,18.9,24.56,14.19,0.36,70.42,0.08,1.53,1,41.49,-72.1,75.5
43.67,450.65,18.9,24.56,14.19,0.34,64.88,0.08,1.58,1,41.49,-72.1,75.5
44.12,428.58,18.51,27.18,14.78,0.36,113.51,0.06,1.49,1,41.86,-72.34,179.16
44.12,428.58,18.51,27.18,14.78,0.38,202.49,0.09,1.42,1,41.86,-72.34,179.16
44.12,428.58,18.51,27.18,14.78,0.33,67.16,0.06,1.55,1,41.86,-72.34,179.16
41.92,432.69,18.76,26.32,12.89,0.39,292.45,0.03,1.37,1,41.83,-71.99,145.91
41.92,432.69,18.76,26.32,12.89,0.42,415.4,0.03,1.33,1,41.83,-71.99,145.91
41.92,383.32,18.85,24.74,13.49,0.36,70.42,0.08,1.53,1,41.83,-71.99,145.91
26.79,320.4,19,25.25,10.47,0.45,2.52,0.55,1.56,1,44.12,-73.77,476.22
26.79,320.4,19,25.25,10.47,0.45,2.52,0.51,1.6,1,44.12,-73.77,476.22
26.79,345.85,18.08,26.98,13.35,0.45,2.52,0.55,1.56,1,44.12,-73.77,476.22
,420.66,17.81,27.2,16.38,0.31,16,0.12,1.69,1,41.16,-73.76,102.65
,443.68,17.57,27.72,15.46,0.35,57.19,0.06,1.52,1,41.16,-73.76,102.65
,443.68,17.57,27.72,15.46,0.35,62.15,0.11,1.61,1,41.16,-73.76,102.65
32.86,361.97,19.21,24.91,13.43,0.37,11.24,0.22,1.59,1,42.78,-76.82,190.94
32.86,361.97,19.21,24.91,13.43,0.35,11.56,0.22,1.7,1,42.78,-76.82,190.94
32.86,275.01,19.32,26.45,13.41,0.37,10.55,0.29,1.68,1,42.78,-76.82,190.94
31.61,330.15,19.47,27.69,14.22,0.37,20.55,0.24,1.61,1,42.63,-77.11,322.34
31.61,330.15,19.47,27.69,14.22,0.35,41.52,0.2,1.71,1,42.63,-77.11,322.34
31.61,330.15,19.47,27.69,14.22,0.34,12.69,0.21,1.71,1,42.63,-77.11,322.34
32.1,354.42,19.15,24.94,12.33,0.35,8.51,0.22,1.71,1,42.39,-76.88,403.34
32.1,354.42,19.15,24.94,12.33,0.33,10.73,0.28,1.71,1,42.39,-76.88,403.34
32.1,354.42,19.15,24.94,12.33,0.33,24.91,0.12,1.62,1,42.39,-76.88,403.34
30.44,394.24,17.88,26.69,14.75,0.39,36,0.1,0,1,41.4,-74.31,190.93
30.44,394.24,17.88,26.69,14.75,0.33,25.71,0.12,1.62,1,41.4,-74.31,190.93
30.44,394.24,17.88,26.69,14.75,0.32,23.76,0.12,1.66,1,41.4,-74.31,190.93
